gen_data,true_data
โงพยาบาลเกาะกูด,โรงพยาบาลเกาะกูด
โรงพยาบาเกาะคา,โรงพยาบาลเกาะคา
โรงพยาบาลเกาะจันร์,โรงพยาบาลเกาะจันทร์
โรงพยาาลเกาะช้าง,โรงพยาบาลเกาะช้าง
โงพยาบาลเกาะพงัน,โรงพยาบาลเกาะพงัน
โรงพาบาลเกาะพีพี,โรงพยาบาลเกาะพีพี
โรงพยาบาลเกายาวชัยพัฒน์,โรงพยาบาลเกาะยาวชัยพัฒน์
โรพยาบาลเกาะลันตา,โรงพยาบาลเกาะลันตา
โรพยาบาลเกาะสมุย,โรงพยาบาลเกาะสมุย
รงพยาบาลเกาะสีชัง,โรงพยาบาลเกาะสีชัง
โรงพยบาลแก่งกระจาน,โรงพยาบาลแก่งกระจาน
โรงยาบาลแก่งคอย,โรงพยาบาลแก่งคอย
โรงพยาบาลแก้งนามนาง,โรงพยาบาลแก้งสนามนาง
โรงพยาบลแก่งหางแมว,โรงพยาบาลแก่งหางแมว
โรงพยาาลแกดำ,โรงพยาบาลแกดำ
โงพยาบาลแกลง,โรงพยาบาลแกลง
โรงพยาาลโกรกพระ,โรงพยาบาลโกรกพระ
โรงพยาบาลโกสัพีนคร,โรงพยาบาลโกสัมพีนคร
โรงพยาบาลโกสุมพสัย,โรงพยาบาลโกสุมพิสัย
โรงพยบาลขลุง,โรงพยาบาลขลุง
โงพยาบาลขอนแก่น,โรงพยาบาลขอนแก่น
โรงพยาบาลขอนก่นราม,โรงพยาบาลขอนแก่นราม
โรงพยาบาลขามทะเสอ,โรงพยาบาลขามทะเลสอ
โรงพยาบาลขามสะแกแส,โรงพยาบาลขามสะแกแสง
โรพยาบาลขุขันธ์,โรงพยาบาลขุขันธ์
โรงยาบาลขุนตาล,โรงพยาบาลขุนตาล
โรงพยบาลขุนยวม,โรงพยาบาลขุนยวม
โรงพยาบาลุนหาญ,โรงพยาบาลขุนหาญ
รงพยาบาลเขมราฐ,โรงพยาบาลเขมราฐ
โรงพยาบาลเขลางค์นครรา,โรงพยาบาลเขลางค์นครราม
โรงพยาบาลเขวาินรินทร์,โรงพยาบาลเขวาสินรินทร์
โรงพยาบาลเขาคอ,โรงพยาบาลเขาค้อ
โรงพยาบาลเขาคิฌกูฏ,โรงพยาบาลเขาคิชฌกูฏ
โรงพยาบาลเขาชะเมา เฉลิมระเกียรติ 80 พรรษา,โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา
โงพยาบาลเขาชัยสน,โรงพยาบาลเขาชัยสน
โรงพยาาลเขาพนม,โรงพยาบาลเขาพนม
โรงพยาบาเขาย้อย,โรงพยาบาลเขาย้อย
โรงพยาบาลเขาว,โรงพยาบาลเขาวง
โรงพยาาลเขาสมิง,โรงพยาบาลเขาสมิง
โรงพยาบาเขาสวนกวาง,โรงพยาบาลเขาสวนกวาง
โรงพยาบลเขาสุกิม,โรงพยาบาลเขาสุกิม
โงพยาบาลเขื่องใน,โรงพยาบาลเขื่องใน
โรงพาบาลโขงเจียม,โรงพยาบาลโขงเจียม
โรงพาบาลคง,โรงพยาบาลคง
โรงพยาบาลคลองเข่อน,โรงพยาบาลคลองเขื่อน
โงพยาบาลคลองตัน,โรงพยาบาลคลองตัน
โรงพยาบาลคองท่อม,โรงพยาบาลคลองท่อม
โรงพาบาลคลองลาน,โรงพยาบาลคลองลาน
โรงพยาบาคลองหลวง,โรงพยาบาลคลองหลวง
โรงพยาบลคลองหอยโข่ง,โรงพยาบาลคลองหอยโข่ง
โรงพยบาลคลองหาด,โรงพยาบาลคลองหาด
โรงพยาบาคลองใหญ่,โรงพยาบาลคลองใหญ่
โงพยาบาลควนกาหลง,โรงพยาบาลควนกาหลง
โงพยาบาลควนขนุน,โรงพยาบาลควนขนุน
โรงพยาบาลควนโด,โรงพยาบาลควนโดน
โรงพยาาลคอนสวรรค์,โรงพยาบาลคอนสวรรค์
โรงพยาบาคอนสาร,โรงพยาบาลคอนสาร
รงพยาบาลค้อวัง,โรงพยาบาลค้อวัง
โรงพยาาลคามิลเลียน,โรงพยาบาลคามิลเลียน
โรงพยาบาลค่ยบางระจัน,โรงพยาบาลค่ายบางระจัน
โรงพยาบาลคำเขื่อนแกว,โรงพยาบาลคำเขื่อนแก้ว
โรงพยบาลคำชะอี,โรงพยาบาลคำชะอี
รงพยาบาลคำม่วง,โรงพยาบาลคำม่วง
โรงพยาบาลีรีรัฐนิคม,โรงพยาบาลคีรีรัฐนิคม
โรพยาบาลคุระบุรีชัยพัฒน์,โรงพยาบาลคุระบุรีชัยพัฒน์
โรงพยาบาเคียนซา,โรงพยาบาลเคียนซา
โรพยาบาลโคกเจริญ,โรงพยาบาลโคกเจริญ
โรงพยาบาลโคกโพิ์,โรงพยาบาลโคกโพธิ์
โรงพยาบาลโคโพธิ์ไชย,โรงพยาบาลโคกโพธิ์ไชย
โรงพยาบาลโคกศรีสพรรณ,โรงพยาบาลโคกศรีสุพรรณ
โรงพยาบาลโกสำโรง,โรงพยาบาลโคกสำโรง
โรงพยาาลฆ้องชัย,โรงพยาบาลฆ้องชัย
รงพยาบาลงาว,โรงพยาบาลงาว
โรงพยาบลจตุรพักตรพิมาน,โรงพยาบาลจตุรพักตรพิมาน
โรงพยาบาลจมทอง,โรงพยาบาลจอมทอง
รงพยาบาลจอมพระ,โรงพยาบาลจอมพระ
โงพยาบาลจะนะ,โรงพยาบาลจะนะ
โรงพยาบลจักราช,โรงพยาบาลจักราช
โรงยาบาลจังหาร,โรงพยาบาลจังหาร
โรงพยาบาจัตุรัส,โรงพยาบาลจัตุรัส
โรงพยาบาลจิตเวชขอนแก่ราชนครินทร์,โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์
โรงพยาบาลจิตเวชนครราชสีมาราชนรินทร์,โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์
โรงพยาบาลจิตเวชนรสวรรค์ราชนครินทร์,โรงพยาบาลจิตเวชนครสวรรค์ราชนครินทร์
โรงพยาบาลจิเวชสงขลาราชนครินทร์,โรงพยาบาลจิตเวชสงขลาราชนครินทร์
โรงยาบาลจุน,โรงพยาบาลจุน
รงพยาบาลจุฬาภรณ์,โรงพยาบาลจุฬาภรณ์
โรงพยาบาลจุฬารัตน์1,โรงพยาบาลจุฬารัตน์11
โรงพาบาลจุฬารัตน์3,โรงพยาบาลจุฬารัตน์3
โรงพยาบาเจริญศิลป์,โรงพยาบาลเจริญศิลป์
โรงพาบาลเจ้าคุณไพบูลย์พนมทวน,โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน
โรพยาบาลเจา้พระยา,โรงพยาบาลเจา้พระยา
โรงพยาบาลเจ้าพระยายมาช,โรงพยาบาลเจ้าพระยายมราช
โรงพยาบาลเจ้าพระาอภัยภูเบศร,โรงพยาบาลเจ้าพระยาอภัยภูเบศร
โรงพยาบาลเจาะไอรอง,โรงพยาบาลเจาะไอร้อง
โรงพยบาลแจ้ห่ม,โรงพยาบาลแจ้ห่ม
โรงพยาบาลเฉพาะทางแม่ละเด็กแพทย์รังสิต,โรงพยาบาลเฉพาะทางแม่และเด็กแพทย์รังสิต
โรงพยาบาเฉลิมพระเกียรติ,โรงพยาบาลเฉลิมพระเกียรติ
โรงพยาบาลเฉลิมพระเกียติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง,โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง
โรงพาบาลชนแดน,โรงพยาบาลชนแดน
โรงพยาาลชลบุรี,โรงพยาบาลชลบุรี
โรงพยบาลชะอวด,โรงพยาบาลชะอวด
รงพยาบาลชะอำ,โรงพยาบาลชะอำ
โรงยาบาลชัยนาทนเรนทร,โรงพยาบาลชัยนาทนเรนทร
รงพยาบาลชัยบาดาล,โรงพยาบาลชัยบาดาล
โรงพยาบาลัยบุรี,โรงพยาบาลชัยบุรี
โรงพยาบาลชยภูมิ,โรงพยาบาลชัยภูมิ
โรงพาบาลชัยภูมิรวมแพทย์,โรงพยาบาลชัยภูมิรวมแพทย์
โรพยาบาลชัยภูมิราม,โรงพยาบาลชัยภูมิราม
โรงพาบาลชัยอรุณเวชการ,โรงพยาบาลชัยอรุณเวชการ
โรงพยาบาลา้งเผือก,โรงพยาบาลชา้งเผือก
โรงพยาบาชานุมาน,โรงพยาบาลชานุมาน
โรพยาบาลชำนิ,โรงพยาบาลชำนิ
โรงพยาบาลชุตาบง,โรงพยาบาลชุมตาบง
โรงพยาบาลชุมพเขตรอุดมศักดิ์,โรงพยาบาลชุมพรเขตรอุดมศักดิ์
โรงพยาบลชุมพลบุรี,โรงพยาบาลชุมพลบุรี
โรงพาบาลชุมพวง,โรงพยาบาลชุมพวง
โรงพยาบาลชุมพ,โรงพยาบาลชุมแพ
รงพยาบาลชุมแสง,โรงพยาบาลชุมแสง
โงพยาบาลเชียงกลาง,โรงพยาบาลเชียงกลาง
โรงพยาาลเชียงขวัญ,โรงพยาบาลเชียงขวัญ
โรงพยาบลเชียงคาน,โรงพยาบาลเชียงคาน
โงพยาบาลเชียงดาว,โรงพยาบาลเชียงดาว
โรงพยาบาลเชียง่วน,โรงพยาบาลเชียงม่วน
รงพยาบาลเชียงยืน,โรงพยาบาลเชียงยืน
โรงพยาบาลเชียงรยประชานุเคราะห์,โรงพยาบาลเชียงรายประชานุเคราะห์
โรงพยาบาลเชยงแสน,โรงพยาบาลเชียงแสน
โรงพยาบาลเชียงใหม่ใกลห้ม,โรงพยาบาลเชียงใหม่ใกลห้มอ
โรงพยาบาลเชียงใหมเมดิคอลเซ็นเตอร์,โรงพยาบาลเชียงใหม่เมดิคอลเซ็นเตอร์
โรงพยาบาเชียงใหม่ราม,โรงพยาบาลเชียงใหม่ราม
โรพยาบาลเชียรใหญ่,โรงพยาบาลเชียรใหญ่
โงพยาบาลโชคชัย,โรงพยาบาลโชคชัย
โงพยาบาลไชยปราการ,โรงพยาบาลไชยปราการ
โรงพาบาลไชยา,โรงพยาบาลไชยา
โรพยาบาลไชโย,โรงพยาบาลไชโย
โรงพยาบาลซับใหญ,โรงพยาบาลซับใหญ่
โรงพยาบาลซานเปาโลหัวหิ,โรงพยาบาลซานเปาโลหัวหิน
โรงพยาบาลซำูง,โรงพยาบาลซำสูง
โรงพาบาลเซกา,โรงพยาบาลเซกา
โรงพาบาลเซนต์เมร่ี,โรงพยาบาลเซนต์เมร่ี
โรงพาบาลเซนต์หลุยส์,โรงพยาบาลเซนต์หลุยส์
โรงพยาบาลเซ็นทัลเชียงใหม่เมโมเรียล,โรงพยาบาลเซ็นทรัลเชียงใหม่เมโมเรียล
โรงพยาบาเซ็นทรัลเยนเนอรัล,โรงพยาบาลเซ็นทรัลเยนเนอรัล
โรงพยาบาลโซพิสัย,โรงพยาบาลโซ่พิสัย
โรงพยาบาลดงหลง,โรงพยาบาลดงหลวง
โรงพยาบาลดอกคำใ้,โรงพยาบาลดอกคำใต้
โงพยาบาลดอนจาน,โรงพยาบาลดอนจาน
โรพยาบาลดอนเจดีย์,โรงพยาบาลดอนเจดีย์
โรงพยบาลดอนตาล,โรงพยาบาลดอนตาล
โรงพยาบาลดนตูม,โรงพยาบาลดอนตูม
โรงพยบาลดอนพุด,โรงพยาบาลดอนพุด
โรงพยาบาลอนมดแดง,โรงพยาบาลดอนมดแดง
โรงพยาบาลดอสัก,โรงพยาบาลดอนสัก
โรงพยบาลดอยเต่า,โรงพยาบาลดอยเต่า
โรงยาบาลดอยสะเก็ด,โรงพยาบาลดอยสะเก็ด
โรงยาบาลดอยหล่อ,โรงพยาบาลดอยหล่อ
โรงยาบาลด่านช้าง,โรงพยาบาลด่านช้าง
โรงพยบาลด่านมะขามเตี้ย,โรงพยาบาลด่านมะขามเตี้ย
โรพยาบาลดาเนินสะดวก,โรงพยาบาลดาเนินสะดวก
โรพยาบาลดำเนินสะดวก,โรงพยาบาลดำเนินสะดวก
โรงยาบาลเดชา,โรงพยาบาลเดชา
โรงพยาบาลเิมบางนางบวช,โรงพยาบาลเดิมบางนางบวช
โรงพาบาลตรอน,โรงพยาบาลตรอน
โรงพยาบาตระการพืชผล,โรงพยาบาลตระการพืชผล
โงพยาบาลตรัง,โรงพยาบาลตรัง
โรงพยาบาลตรังรวมแพทย,โรงพยาบาลตรังรวมแพทย์
โรงพยาบาลตะกัวทุ่ง,โรงพยาบาลตะกั่วทุ่ง
โรงพยาบาละกั่วป่า,โรงพยาบาลตะกั่วป่า
โรงพยาบาลตะโหม,โรงพยาบาลตะโหมด
โงพยาบาลตากใบ,โรงพยาบาลตากใบ
โรงพยาบลตากฟ้า,โรงพยาบาลตากฟ้า
โรงพยาบาลตพระยา,โรงพยาบาลตาพระยา
โรงพยาบาลตาวจ,โรงพยาบาลตารวจ
รงพยาบาลตาลสุม,โรงพยาบาลตาลสุม
โงพยาบาลเต่างอย,โรงพยาบาลเต่างอย
โรงพยาบาลเถิ,โรงพยาบาลเถิน
โงพยาบาลทรายทองวัฒนา,โรงพยาบาลทรายทองวัฒนา
โรงพยบาลทองผาภูมิ,โรงพยาบาลทองผาภูมิ
โรงพยาบลทองแสนขัน,โรงพยาบาลทองแสนขัน
โรงพยาบาลทักษิณสุราษฎร,โรงพยาบาลทักษิณสุราษฎร์
โงพยาบาลทับคล้อ,โรงพยาบาลทับคล้อ
โงพยาบาลทับปุด,โรงพยาบาลทับปุด
โรงพยาบาลทัทัน,โรงพยาบาลทัพทัน
โรงพยาบาลท่ากะดาน,โรงพยาบาลท่ากระดาน
โรพยาบาลท่าคันโท,โรงพยาบาลท่าคันโท
โรงพยาาลท่าฉาง,โรงพยาบาลท่าฉาง
โรงพยาบลท่าชนะ,โรงพยาบาลท่าชนะ
โรงพยาบาท่าช้าง,โรงพยาบาลท่าช้าง
โรงพยาบาลท่าตะเกีบ,โรงพยาบาลท่าตะเกียบ
โรงพยาบาลทาตะโก,โรงพยาบาลท่าตะโก
โรงพยาบาล่าตูม,โรงพยาบาลท่าตูม
โงพยาบาลท่าปลา,โรงพยาบาลท่าปลา
โรงพยาาลท่าแพ,โรงพยาบาลท่าแพ
โรงยาบาลท้ายเหมืองชัยพัฒน์,โรงพยาบาลท้ายเหมืองชัยพัฒน์
โรงพยาาลท่ายาง,โรงพยาบาลท่ายาง
โงพยาบาลท่าเรือ,โรงพยาบาลท่าเรือ
โรงพยาบาท่าโรงช้าง,โรงพยาบาลท่าโรงช้าง
โรงพยาบาล่าลี่,โรงพยาบาลท่าลี่
โรงพยาาลท่าวังผา,โรงพยาบาลท่าวังผา
โรงพยบาลท่าศาลา,โรงพยาบาลท่าศาลา
โรงพยาาลท่าหลวง,โรงพยาบาลท่าหลวง
โรงพยาบาล่าใหม่,โรงพยาบาลท่าใหม่
โรงพาบาลท่าอุเทน,โรงพยาบาลท่าอุเทน
โรงพยาบลทุ่งช้าง,โรงพยาบาลทุ่งช้าง
โรงพยาบาลทุ่ตะโก,โรงพยาบาลทุ่งตะโก
โรงพยาาลทุ่งฝน,โรงพยาบาลทุ่งฝน
โรงพยาบาลทุ่งโพธ์ทะเล,โรงพยาบาลทุ่งโพธิ์ทะเล
โรงพยาบาลทุ่ยางแดง,โรงพยาบาลทุ่งยางแดง
โรงพยาบาลทุ่งศรีอดม,โรงพยาบาลทุ่งศรีอุดม
โรงพยาบาลทุ่งง,โรงพยาบาลทุ่งสง
โรงพยาบลทุ่งหว้า,โรงพยาบาลทุ่งหว้า
โรงพาบาลทุ่งหัวช้าง,โรงพยาบาลทุ่งหัวช้าง
โรงพยาาลทุ่งใหญ่,โรงพยาบาลทุ่งใหญ่
โรงพยาบาเทพธารินทร์,โรงพยาบาลเทพธารินทร์
โรงพยาบาลเทพปัญา,โรงพยาบาลเทพปัญญา
โรพยาบาลเทพรัตน์นครราชสีมา,โรงพยาบาลเทพรัตน์นครราชสีมา
โรงพาบาลเทพสถิต,โรงพยาบาลเทพสถิต
โรงพยบาลเทพา,โรงพยาบาลเทพา
โรงพยาบาลเทพารักษ์,โรงพยาบาลเทพารักษ์
โรงพาบาลเทิง,โรงพยาบาลเทิง
โรงพยาบาลไทยจริญ,โรงพยาบาลไทยเจริญ
โรพยาบาลไทยอินเตอร์เนชั่นแนล,โรงพยาบาลไทยอินเตอร์เนชั่นแนล
โรงพยาบาลไทรงา,โรงพยาบาลไทรงาม
โรงพยาบาลไรน้อย,โรงพยาบาลไทรน้อย
โรงพยาบลไทรโยค,โรงพยาบาลไทรโยค
โรงพยาบาลธนกญจน์,โรงพยาบาลธนกาญจน์
โรงพยาบาลนบุรี1,โรงพยาบาลธนบุรี1
โรงพยาบาลธนบุร2,โรงพยาบาลธนบุรี2
โรงพยาบาลธบุรีชุมพร,โรงพยาบาลธนบุรีชุมพร
โรงพยบาลธนบุรีอู่ทอง,โรงพยาบาลธนบุรีอู่ทอง
โรงพยาบาลธัญญรักษ์ขอนแก่,โรงพยาบาลธัญญรักษ์ขอนแก่น
โรงพยาบาลธัญรักษ์ปัตตานี,โรงพยาบาลธัญญรักษ์ปัตตานี
โรพยาบาลธัญญารักษ์สงขลา,โรงพยาบาลธัญญารักษ์สงขลา
โรงยาบาลธัญญารักษ์อุดรธานี,โรงพยาบาลธัญญารักษ์อุดรธานี
โรงพยาบาลธัญุรี,โรงพยาบาลธัญบุรี
โรงยาบาลธารโต,โรงพยาบาลธารโต
โรงพยาบาลธีรัฒน์,โรงพยาบาลธีรวัฒน์
โรงพยาบาลนครคริสเตีย,โรงพยาบาลนครคริสเตียน
โงพยาบาลนครธน,โรงพยาบาลนครธน
โรงพยาบลนครนายก,โรงพยาบาลนครนายก
โรงพยาบาลครปฐม,โรงพยาบาลนครปฐม
โรพยาบาลนครพนม,โรงพยาบาลนครพนม
โรงพยาบานครพัฒน์,โรงพยาบาลนครพัฒน์
โรงพยาบาลนครแม่สอดอินเตอร์เชั่นแนล,โรงพยาบาลนครแม่สอดอินเตอร์เนชั่นแนล
โรงพยาบาลนครินทร,โรงพยาบาลนครินทร์
โรงพยาบาลนนทเว,โรงพยาบาลนนทเวช
